Company,Name,Fuel,Capacity,Start_date,Location
Ecotricity,GreenPark,Wind,2.0,2005,South East
Ecotricity,HandH,Wind,0.8,2016,Yorkshire and Humber
Ecotricity,Lynch Knoll,Wind,0.5,1996,South West
Ecotricity,Mablethorpe,Wind,1.2,2002,East Midlands
Ecotricity,QEH,Wind,0.8,2016,Eastern
Ecotricity,RSPB,Wind,0.8,2016,Eastern
Ecotricity,Shooters,Wind,2.0,2008,South West
Ecotricity,Somerton,Wind,1.8,2000,Eastern
Ecotricity,Swaffham II,Wind,1.8,2003,Eastern
Ecotricity,Worksopp,Wind,2.0,2016,East Midlands
Ecotricity,Fen Farm Solar,Solar,0.9,2011,East Midlands
EDF Energy,Dungeness B,Nuclear,"1,120.0",1983,South East
EDF Energy,Hartlepool,Nuclear,"1,207.0",1984,North East
EDF Energy,Heysham 1,Nuclear,"1,179.0",1984,North West
EDF Energy,Heysham 2,Nuclear,"1,254.0",1988,North West
EDF Energy,Hinkley Point B,Nuclear,"1,061.0",1976,South West
EDF Energy,Sizewell B,Nuclear,"1,216.0",1995,East England
EDF Energy,Hunterston B,Nuclear,"1,074.0",1976,Scotland
EDF Energy,Torness,Nuclear,"1,250.0",1988,Scotland
EDF Energy,Cottam,Coal,"2,008.0",1969,West Midlands
EDF Energy,West Burton,Coal,"2,012.0",1967,West Midlands
EDF Energy,West Burton CCGT,CCGT,"1,332.0",2012,West Midlands
EDF Energy,Barkantine Heat & Power Company *,Gas,1.0,2000,London
EDF Energy,London Heat & Power Company *,Gas,9.0,2000,London
EDF Energy,West Burton GT,Gas oil,40.0,1967,East Midlands
EDF renewables,Barmoor,Wind,12.0,2014,North East
EDF renewables,Beckburn,Wind,31.1,2017,North West
EDF renewables,Bicker Fen,Wind,26.0,2008,East Midlands
EDF renewables,Blyth,Wind (offshore),40.0,2017,North East
EDF renewables,Boundary Lane,Wind,6.0,2013,North East
EDF renewables,Broomhill,Wind,8.0,2009,North East
EDF renewables,Burnfoot,Wind,30.1,2010,Scotland
EDF renewables,Burnhead Moss,Wind,26.0,2015,Scotland
EDF renewables,Cemmaes,Wind,15.3,2002,Wales
EDF renewables,Cold Northcott,Wind,6.6,1993,South West
EDF renewables,Corriemoillie,Wind,47.5,2017,Scotland
EDF renewables,Deeping,Wind,16.0,2006,East Midlands
EDF renewables,Fairfield,Wind,6.5,2011,North West
EDF renewables,Fallago Rig,Wind,144.0,2013,Scotland
EDF renewables,Glass Moor,Wind,16.0,2006,Eastern
EDF renewables,Glass Moor II,Wind,12.0,2013,Eastern
EDF renewables,Great Orton,Wind,4.0,1999,North West
EDF renewables,Green Rigg,Wind,36.0,2012,North East
EDF renewables,High Hedley I,Wind,2.4,2001,North East
EDF renewables,High Hedley II,Wind,5.2,2008,North East
EDF renewables,Kirkheaton,Wind,1.8,2000,North East
EDF renewables,Langley,Wind,8.0,2008,North East
EDF renewables,Llangwyryfon,Wind,9.4,1993,Wales
EDF renewables,Longpark,Wind,38.0,2009,Scotland
EDF renewables,Park Spring,Wind,8.6,2015,Yorkshire and Humber
EDF renewables,Pearie Law,Wind,19.2,2016,Scotland
EDF renewables,Red House,Wind,12.0,2006,East Midlands
EDF renewables,Red Tile,Wind,24.0,2006,Eastern
EDF renewables,Rhodders ,Wind,12.0,2016,Scotland
EDF renewables,Roade,Wind,7.2,2014,East Midlands
EDF renewables,Rusholme,Wind,24.0,2010,Yorkshire and Humber
EDF renewables,Teesside (offshore),Wind (offshore),62.0,2013,North East
EDF renewables,Trimdon,Wind,5.2,2008,North East
EDF renewables,Walkway,Wind,14.0,2008,North East 
EDF renewables,Winscales I,Wind,2.0,1999,North West
EDF renewables,Winscales II,Wind,6.8,2005,North West
Eggborough Power Ltd,Eggborough,Coal,"1,960.0",1967,Yorkshire & Humber
Eneco,Burn of Whilk,Wind,22.5,2015,Scotland
Eneco,Lochluichart,Wind,69.0,2014,Scotland
Eneco,Moy,Wind,60.0,2016,Scotland
Eneco,Tullo,Wind,17.0,2010,Scotland
Eneco,Twinshiels,Wind,25.0,2015,Scotland
Eneco,Oaklands,Solar,5.0,2016,South West
Eneco,Oaklands,Solar,5.0,2016,South West
Engie,Deeside,CCGT,515.0,1994,Wales
ENGIE,Dinorwig,Pumped storage,"1,800.0",1983,Wales
ENGIE,Ffestiniog,Pumped storage,360.0,1961,Wales
EPR,Eye Suffolk,Biomass_poultry_litter,14.3,1992,East England
EPR,Glanford,Meat,14.0,1993,Yorkshire & Humber
EPR,Thetford,Biomass_poultry_litter,41.5,1998,East England
EPR,Westfield,Biomass_poultry_litter,12.5,2000,Scotland
EPR,EPR Ely Ltd,Straw,38.0,2001,East England
EPUKi,South Humber Bank,CCGT,"1,365.0",1996,Yorkshire & Humber
EPUKi,Langage,CCGT,905.0,2010,South West
ESB,Coolkeeragh,CCGT,408.0,2005,Northern Ireland
ESB,Coolkeeragh OCGT,Gas oil,53.0,2005,Northern Ireland
ESB,Carrington,CCGT,910.0,2016,North West
Falck renewables LTD,Assel Valley,Wind,25.0,2016,Scotland
Falck renewables LTD,Auchrobert,Wind,38.8,2017,Scotland
Falck renewables LTD,Ben Aketil,Wind,27.6,2007,Scotland
Falck renewables LTD,Boyndie,Wind,16.3,2006,Scotland
Falck renewables LTD,Cambrian,Wind,58.5,2016,Wales
Falck renewables LTD,Earlsburn,Wind,37.5,2006,Scotland
Falck renewables LTD,Kilbraur,Wind,67.5,2008,Scotland
Falck renewables LTD,Kingsburn,Wind,22.5,2016,Scotland
Falck renewables LTD,Millennium,Wind,65.0,2007,Scotland
Falck renewables LTD,Nutberry,Wind,15.0,2011,Scotland
Falck renewables LTD,Spaldington,Wind,11.8,2016,Yorkshire and Humber
Falck renewables LTD,West Browncastle,Wind,30.0,2014,Scotland
Foresight Group ,Shotwick Solar Park,Solar,72.2,2016,Wales
Fred Olsen Renewables,Brockloch Rig ,Wind,61.5,2017,Scotland
Fred Olsen Renewables,Crystal Rig,Wind,62.5,2003,Scotland
Fred Olsen Renewables,Crystal Rig II,Wind,138.0,2003,Scotland
Fred Olsen Renewables,Crystal Rig III,Wind,13.8,2016,Scotland
Fred Olsen Renewables,Mid Hill,Wind,75.9,2013,Scotland
Fred Olsen Renewables,Pauls Hill,Wind,64.4,2005,Scotland
Fred Olsen Renewables,Rothes,Wind,50.6,2004,Scotland
Fred Olsen Renewables,Rothes II,Wind,41.4,2013,Scotland
Greencoat,Bin Mountain Wind Farm ,Wind,9.0,2007,Northern Ireland
Greencoat,Bishopthorpe,Wind,20.0,2017,East Midlands
Greencoat,Bogenlea,Wind,2.3,2014,Scotland
Greencoat,Braes of Doune Wind Farm,Wind,72.0,2006,Scotland
Greencoat,Carcant Wind Farm,Wind,6.0,2010,Scotland
Greencoat,Cotton Farm,Wind,16.4,2013,Eastern
Greencoat,Drone Hill,Wind,28.6,2012,Scotland
Greencoat,Earls Hall Farm,Wind,10.3,2013,Eastern
Greencoat,Kildrummy,Wind,18.4,2013,Scotland
Greencoat,Langhope Rig,Wind,20.0,2015,Scotland
Greencoat,Maerdy,Wind,24.0,2012,Wales
Greencoat,North Rhins,Wind,22.0,2010,Scotland
Greencoat,Screggagh,Wind,20.0,2011,Northern Ireland
Greencoat,Sixpenny Wood,Wind,20.5,2013,Yorkshire and Humber
Greencoat,Stroupster,Wind,29.9,2015,Scotland
Greencoat,Tappaghan Wind Farm,Wind,28.5,2004,Northern Ireland
Greencoat,Yelvertoft,Wind,16.4,2013,East Midlands
Greencoat,Slieve Divena,Wind,30.0,2009,Northern Ireland
Greencoat,30 Acres,Solar,5.0,2016,East Midlands
Greencoat,Ainderby,Solar,5.0,2017,Yorkshire and Humber
Greencoat,Ashby,Solar,5.0,2016,East Midlands
Greencoat,Bann Road,Solar,45.8,2017,Northern Ireland
Greencoat,Bedborough,Solar,5.0,2015,South West
Greencoat,Berthllwyd,Solar,5.0,2017,Wales
Greencoat,Bilsborrow,Solar,5.0,2017,North West
Greencoat,Bodwen,Solar,5.0,2017,South West
Greencoat,Bryn Bachau,Solar,4.6,2016,Wales
Greencoat,Carnemough,Solar,10.1,2016,South West
Greencoat,Chatteris,Solar,4.3,2016,Eastern
Greencoat,Coltishall 1,Solar,33.7,2015,Eastern
Greencoat,Coltishall 2.1,Solar,4.7,2016,Eastern
Greencoat,Coltishall 2.2,Solar,4.9,2016,Eastern
Greencoat,Coltishall 2.3,Solar,5.0,2016,Eastern
Greencoat,Coltishall 2.4,Solar,3.7,2016,Eastern
Greencoat,Common Farm,Solar,3.4,2017,South West
Greencoat,Ebnal Lodge,Solar,5.0,2017,West Midlands
Greencoat,Eveley,Solar,49.3,2016,South East
Greencoat,Fanny House,Solar,4.9,2015,North West
Greencoat,Ferry Farm,Solar,4.9,2015,South East
Greencoat,Hunger Hill,Solar,5.0,2017,North East
Greencoat,Lagness,Solar,4.8,2016,South East
Greencoat,Lower House,Solar,8.2,2016,Wales
Greencoat,Manor Farm,Solar,4.9,2016,South East
Greencoat,Margate,Solar,3.4,2015,South West
Greencoat,Merston,Solar,5.0,2016,South East
Greencoat,Ramsey Airfields,Solar,5.0,2016,Eastern
Greencoat,Ramsey Heights,Solar,5.0,2016,Eastern
Greencoat,Redbridge,Solar,6.5,2013,South West
Greencoat,Sandhutton,Solar,5.0,2017,Yorkshire and Humber
Greencoat,Sellindge,Solar,11.2,2016,South East
Greencoat,Stonebarrow,Solar,7.5,2014,South West
Greencoat,Westover,Solar,7.0,2014,South East
Greencoat,Wilton,Solar,9.5,2015,South West
Greencoat,Wrangle Farm,Solar,10.8,2014,East Midlands
Greencoat,Wraysbury,Solar,3.0,2017,South East
Greencoat,Common Farm,Solar,3.4,2017,South West
Greencoat,Manor Farm,Solar,4.9,2016,South East
Indian Queens Power Ltd,Indian Queens,Gas oil,140.0,1996,South West
Infinis,Ardrossan,Wind,30.0,2004,Scotland
Infinis,A'Chruach,Wind,42.6,2016,Scotland
Infinis,Blackstone Edge,Wind,6.0,2013,Yorkshire and Humber
Infinis,Dalswinton,Wind,30.0,2007,Scotland
Infinis,Galawhistle,Wind,55.2,2016,Scotland
Infinis,Glenkerie,Wind,19.4,2012,Scotland
Infinis,Gordonstown,Wind,12.3,2013,Scotland
Infinis,Hill of Fiddes,Wind,6.9,2010,Scotland
Infinis,Lissett,Wind,30.0,2007,Yorkshire and Humber
Infinis,Low Spinney,Wind,8.0,2011,East Midlands
Infinis,Minsca,Wind,36.8,2007,Scotland
Infinis,Mynydd Clogau,Wind,14.3,2005,Wales
Infinis,North Steads,Wind,18.5,2016,North East
Infinis,Rheidol,Wind,2.4,1997,Wales
Infinis,Seamer,Wind,10.3,2012,North East
Infinis,Sisters,Wind,8.2,2016,North East
Infinis,Tedder Hill,Wind,6.8,2013,Yorkshire and Humber
Infinis,Westfield,Wind,9.8,2013,Scotland
Infinis,Wingates,Wind,14.7,2013,North East
Infinis,Bears down reservoir ,Wind,9.6,2001,South West
Infinis,Beinn ghlas windfarm,Wind,8.4,1999,Scotland
Infinis,Bryn titli wind farm,Wind,10.0,1994,Wales
Infinis,Carno,Wind,33.6,1997,Wales
Infinis,Causeymire wind farm,Wind,48.3,2004,Scotland
Infinis,Farr wind farm ltd,Wind,92.0,2005,Scotland
Infinis,Fynnon Oer,Wind,32.0,2006,Wales
Infinis,Kirkby moor wind farm,Wind,4.8,1993,North West
Infinis,Lambirgg,Wind,6.5,2000,North West
Infinis,Llyn Alaw,Wind,20.4,1997,Wales
Infinis,Mynydd gorddu ,Wind,10.2,1998,Wales
Infinis,Novar,Wind,17.0,1997,Scotland
Infinis,Taff Ely  ,Wind,9.0,1993,Wales
Infinis,Tow law wind farm,Wind,2.3,2001,North East
Infinis,Trysglwyn,Wind,5.6,1996,Wales
Infinis,Windy Standard,Wind,21.6,1996,Scotland
Innogy renewables,An Suidhe,Wind,19.3,2005,Scotland
Innogy renewables,Bilbster,Wind,3.9,2007,Scotland
Innogy renewables,Bradwell,Wind,20.5,2013,Eastern
Innogy renewables,Burgar Hill,Wind,5.0,2006,Scotland
Innogy renewables,Galloper,Wind (offshore),33.0,2013,Yorkshire and Humber
Innogy renewables,Goole Fields 2,Wind,34.9,2016,Yorkshire and Humber
Innogy renewables,Gwynt-y-Mor,Wind (offshore),576.0,2013,Wales
Innogy renewables,Hameldon Hill,Wind,6.0,2006,North West
Innogy renewables,Hameldon Hill Extension,Wind,6.0,2013,North West
Innogy renewables,Hellrigg,Wind,9.2,2012,North West
Innogy renewables,Hollies,Wind,2.6,2008,East Midlands
Innogy renewables,Kiln Pit Hill,Wind,14.0,2011,North East
Innogy renewables,Knabs Ridge,Wind,16.0,2007,Yorkshire and Humber
Innogy renewables,Lindhurst,Wind,9.0,2010,East Midlands
Innogy renewables,Little Cheyne Court,Wind,59.8,2008,South East
Innogy renewables,Lochelbank,Wind,9.6,2010,Scotland
Innogy renewables,Middlemoor,Wind,54.0,2013,North East
Innogy renewables,North Hoyle,Wind (offshore),60.0,2003,Wales
Innogy renewables,Novar2,Wind,36.8,2012,Scotland
Innogy renewables,Rhyl Flats,Wind (offshore),90.0,2009,Wales
Innogy renewables,Galloper Wind Farm,Wind (offshore),72.0,2017,Eastern
Innogy renewables,Cia Aig ,Hydro,3.0,2016,Scotland
Innogy renewables,Auchtertyre,Hydro,0.6,2000,Scotland
Innogy renewables,Black Rock,Hydro,3.5,2012,Scotland
Innogy renewables,Blantyre,Hydro,0.6,1995,Scotland
Innogy renewables,Braevallich,Hydro,2.2,2005,Scotland
Innogy renewables,Carnoch,Hydro,1.4,2009,Scotland
Innogy renewables,Croesor,Hydro,0.5,1999,Wales
Innogy renewables,Cwm Dyli,Hydro,10.0,2002,Wales
Innogy renewables,Dolgarrog High Head,Hydro,17.0,2002,Wales
Innogy renewables,Dolgarrog Low Head,Hydro,15.0,1926/2002,Wales
Innogy renewables,Douglas Water,Hydro,3.0,2008,Scotland
Innogy renewables,Dulyn,Hydro,0.5,1998,Wales
Innogy renewables,Garnedd,Hydro,0.5,1990,Wales
Innogy renewables,Garrogie,Hydro,2.4,2005,Scotland
Innogy renewables,Garry Gualach,Hydro,0.8,2002,Scotland
Innogy renewables,Glen Tarbert,Hydro,0.9,2000,Scotland
Innogy renewables,Grudie ,Hydro,2.0,2017,Scotland
Innogy renewables,Inverbain,Hydro,1.0,2006,Scotland
Innogy renewables,Inverlael,Hydro,2.5,2009,Scotland
Innogy renewables,Kielder,Hydro,6.0,2006,North East
Innogy renewables,Maldie,Hydro,4.0,2013,Scotland
Innogy renewables,River E,Hydro,3.0,2008,Scotland
Innogy renewables,Selset,Hydro,0.8,2010,North East
Innogy renewables,Stanley Mill,Hydro,0.8,2003,Scotland
Intergen,Rocksavage,CCGT,810.0,1998,North West
Intergen,Coryton,CCGT,800.0,2001,East England
Intergen,Spalding,CCGT,880.0,2004,East Midlands
Lark,Barr Farm Limited,Solar,1.9,2015,West Midlands
Lark,Brafield on the Green Solar Park,Solar,4.9,2016,East Midlands
Lark,Burton Pedwardine,Solar,9.0,2014,East Midlands
Lark,Burton Pedwardine Solar Farm Phase 2,Solar,4.2,2014,East Midlands
Lark,Chalgrove - Langlay Hall - Solar Farm,Solar,2.4,2014,South East
Lark,Coton Park Solar Farm,Solar,2.7,2015,East Midlands
Lark,Ellough Solar Farm,Solar,19.9,2014,Eastern
Lark,Ellough Solar Farm Phase two,Solar,0.0,2016,Eastern
Lark,Fen Road Solar Farm,Solar,1.4,2011,East Midlands
Lark,Fiskerton Solar Farm,Solar,13.0,2015,East Midlands
Lark,Huddlesford House Farm,Solar,0.9,2016,West Midlands
Lark,Kenninghall Solar Farm,Solar,8.0,2015,Eastern
Lark,Ketton Solar Farm,Solar,9.0,2014,East Midlands
