"",Killingholme,CCGT,665,1994 Yorkshire and the Humber
"",Langage,CCGT,905,2010 South West
"",Peterborough (9),CCGT,240,1993 East
"",South Humber Bank,CCGT,1310,1996 Yorkshire and the Humber
"",Glens of Foudland,wind,26,2005 Scotland
"",Inner Dowsing,wind (offshore),97,2009 East Midlands
"",Lynn,wind (offshore),97,2009 East Midlands
CEP Wind 2 Ltd (10),Gruig,wind,25,2009 Northern Ireland
Cold Northcott Windfarm Ltd (7),Cold Northcott,wind,7,1993 South West
Coolkeeragh ESB Ltd,Coolkeeragh,CCGT,408,2005 Northern Ireland
"",Coolkeeragh OCGT,gas oil,53,2005 Northern Ireland
Corby Power Ltd,Corby,CCGT,401,1993 East Midlands
Dong Energy,Severn,CCGT,848,2010 Wales
"",Barrow (11),wind (offshore),90,2006 North West
"",Burbo Bank,wind (offshore),90,2009 North West
"",Gunfleet Sands 1,wind (offshore),108,2010 South East
"",Gunfleet Sands 2,wind (offshore),65,2010 South East
"",Gunfleet Sands 3,wind (offshore),65,2013 South East
"",Lincs (11),wind (offshore),270,2012 East
Company Name,Station Name Fuel,,Installed,Year of Location
"",,,Capacity,"commission or Scotland, Wales"
"",,,(MW),"year generation Northern Ireland,"
"",,,,began or English region
Dong Energy (continued),Walney 1 (3) wind (offshore),,184,2011 North West
"",Walney 2 (3) wind (offshore),,184,2011 North West
"",West of Duddon Sands wind (offshore),,389,2014 North West
Drax Power Ltd,Drax coal/biomass,,3870,1974 Yorkshire and the Humber
"",Drax GT gas oil,,75,1971 Yorkshire and the Humber
E.On UK,Ironbridge biomass,,360,1970 West Midlands
"",Steven's Croft * biomass,,50,2007 Scotland
"",Castleford CCGT,,56,2002 Yorkshire and the Humber
"",Connahs Quay CCGT,,1380,1996 Wales
"",Cottam Development Centre CCGT,,395,1999 East Midlands
"",Enfield CCGT,,408,1999 London
"",Grain CCGT,,1365,2010 South East
"",Killingholme CCGT,,900,1993 Yorkshire and the Humber
"",Sandbach CCGT,,56,1999 North West
"",Thornhill CCGT,,50,1998 Yorkshire and the Humber
"",Ratcliffe coal,,2000,1968 East Midlands
"",Grain GT * gas oil,,55,1978 South East
"",Ratcliffe GT gas oil,,34,1966 East Midlands
"",Taylor's Lane GT gas oil,,144,1979 London
"",Askam wind,,5,1999 North West
"",Bowbeat wind,,31,2002 Scotland
"",Butterwick Moor wind,,19,2011 North East
"",Camster wind,,50,2012 Scotland
"",Deucheran Hill wind,,16,2001 Scotland
"",Great Eppleton wind,,8,2010 North East
"",Hare Hill wind,,6,2004 North East
"",Haswell Moor wind,,10,2010 North East
"",High Volts wind,,8,2004 North East
"",Holmside wind,,6,2004 North East
"",Lowca wind,,5,2000 North West
"",Oldside wind,,5,1996 North West
"",Out Newton wind,,9,2002 Yorkshire and the Humber
"",Rhyd-y-Groes wind,,7,1992 Wales
"",Rosehall wind,,25,2012 Scotland
"",Siddick wind,,4,1996 North West
"",Stags Holt wind,,20,2007 East
"",Tween Bridge wind,,44,2012 North East
"",Blyth wind (offshore),,4,2000 North East
"",Robin Rigg wind (offshore),,180,2010 Scotland
"",Scroby Sands wind (offshore),,60,2004 East
EDF Energy,West Burton CCGT CCGT,,1410,2012 East Midlands
"",Cottam coal,,2008,1969 East Midlands
"",West Burton coal,,2012,1967 East Midlands
"",Aberdare District Energy gas,,10,2002 Wales
"",Bridgewater District Energy gas,,10,2000 South West
"",Sevington District Energy gas,,10,2000 South East
"",Solutia District Energy gas,,10,2000 Wales
"",Barkantine Heat & Power Company * gas,,1,2000 London
"",London Heat & Power Company * gas,,9,2000 London
"",West Burton GT gas oil,,40,1967 East Midlands
"",Thames Valley Power * gas/gas oil,,15,1995 London
"",(Imperial College),,,
EDF Energy Renewables,Bicker Fen wind,,26,2008 East Midlands
"",Boundary Lane wind,,6,2013 North East
"",Burnfoot Hill wind,,26,2010 Scotland
"",Fairfield wind,,7,2011 North West
"",Fallago wind,,144,2013 Scotland
"",Glass Moor II wind,,12,2013 East Midlands
"",Green Rigg wind,,36,2012 North East
"",Longpark wind,,38,2009 Scotland
"",Roade wind,,7,2014 Northampton
"",Rusholme wind,,24,2010 Yorkshire and the Humber
"",Walkway wind,,14,2008 North East
Eggborough Power Ltd,Eggborough coal,,1960,1967 Yorkshire and the Humber
EPR Ely Limited,Elean straw/gas,,38,2001 East
Company Name,Station Name,Fuel,Installed,Year of Location
"",,,Capacity,"commission or Scotland, Wales"
"",,,(MW),"year generation Northern Ireland,"
"",,,,began or English region
EPR Eye Ltd,"Eye, Suffolk",AWDF (12),13,1992 East
EPR Glanford Ltd,Glanford,meat & bone meal,13,1993 East
EPR Scotland Ltd,Westfield,poultry litter,12,2000 Scotland
EPR Thetford Ltd,Thetford,poultry litter,39,1998 East
Falck Renewables Wind Ltd,Ben Aketil,wind,28,2007 Scotland
"",Boyndie,wind,16,2006 Scotland
"",Cefn Croes,wind,59,2006 Wales
"",Earlsburn,wind,38,2007 Scotland
"",Kilbraur,wind,68,2008 Scotland
"",Millennium,wind,65,2008 Scotland
"",Nutberry,wind,15,2013 Scotland
Fenland Windfarms Ltd (7),Deeping,wind,16,2006 East Midlands
"",Glass Moor,wind,16,2006 East Midlands
"",Red House,wind,12,2006 East Midlands
"",Red Tile,wind,24,2007 East Midlands
Fred Olsen,Crystal Rig II,wind,138,2010 Scotland
"",Crystal Rig Windfarm,wind,63,2003 Scotland
"",Mid Hill,wind,76,2014 Scotland
"",Paul's Hill,wind,64,2005 Scotland
"",Rothes,wind,51,2004 Scotland
"",Rothes II,wind,41,2013 Scotland
GDF Suez,Blantyre,wind,17,2014 Scotland
"",Crimp,wind,2,2011 England
"",Crimp,wind,2,2011 South West
"",Flimby,wind,6,2013 England
"",Scotia,wind,20,2010 Scotland
"",Sober,wind,12,2013 England
Great Orton Windfarm Ltd (6)(7),Great Orton,wind,4,1999 North West
High Hedley Hope Wind Ltd (7),Broomhill,wind,8,2008 North East
"",High Hedley 1,wind,2,2001 North East
"",High Hedley 2,wind,5,2008 North East
"",Langley Park,wind,8,2008 North East
"",Trimdon Grange,wind,5,2008 North East
Infinis,Ardrossan,wind,24,2004 Scotland
"",Ardrossan Extension,wind,6,2008 Scotland
"",Blackstone Edge,wind,6,2013 Yorkshire and the Humber
"",Dalswinton,wind,30,2008 Scotland
"",Glenkerie,wind,20,2012 Scotland
"",Gordonstown,wind,6,2013 Scotland
"",Hill of Fiddes,wind,7,2010 Scotland
"",Lissett,wind,30,2007 Yorkshire and the Humber
"",Low Spinney,wind,8,2011 East Midlands
"",Minsca,wind,37,2008 Scotland
"",Mynydd Clogau,wind,14,2004 Wales
"",Rheidol,wind,2,1997 Wales
"",Seamer,wind,10,2012 North East
"",Slieve Divena,wind,30,2009 N Ireland
"",Westfield,wind,10,2013 Scotland
"",Wingates,wind,15,2013 North East
Intergen,Coryton,CCGT,800,2001 East
"",Rocksavage,CCGT,810,1998 North West
"",Spalding,CCGT,880,2004 East Midlands
International Power Ltd,Deeside,CCGT,515,1994 Wales
"",Saltend *,CCGT,1200,2000 Yorkshire and the Humber
"",Rugeley,coal,1006,1972 West Midlands
"",Rugeley GT,gas oil,50,1972 West Midlands
"",Indian Queens,gas oil/kerosene,140,1996 South West
"",Dinorwig,pumped storage,1728,1983 Wales
"",Ffestiniog,pumped storage,360,1961 Wales
K/S Winscales (7),Winscales 1,wind,2,1999 North West
"",Winscales 2,wind,7,2005 North West
Company Name,Station Name,Fuel,Installed,Year of Location
"",,,Capacity,"commission or Scotland, Wales"
"",,,(MW),"year generation Northern Ireland,"
"",,,,began or English region
Kirkheaton Wind Ltd (7),Kirkheaton,wind,2,2000 North East
Llangwyryfon Windfarm Ltd (7),Llangwyryfon,wind,9,2003 Wales
London Array Ltd (13),London Array,wind (offshore),630,2012 South East
Londonwaste Limited,Edmonton,waste,60,2012 South East
Lynemouth Power Ltd (14),Lynemouth,coal,420,1972 North East
Magnox Ltd (15),Maentwrog,hydro,28,1928 Wales
"",Wylfa,nuclear,490,1971 Wales
Marchwood Power Limited (16),Marchwood,CCGT,842,2009 South West
MEAG (17),Bagmoor,wind,16,2009 East Midlands
"",Scout Moor (3),wind,65,2009 North West
"",Tyr Mostyn & Foel Goch,wind,21,2005 Wales
Peel Energy Ltd,Seaforth,wind,3,1999 North West
Prime Renewables Gmbh,Port of Liverpool,wind,10,2008 North West
Px Limited (18),Fellside *,gas,180,1995 North West
RES UK & Ireland Ltd,Dyffryn Brodyn,wind,5,1994 Wales
"",Four Burrows,wind,5,1995 South West
"",Meikle Carewe,wind,10,2013 Scotland
"",Tallentire,wind,12,2013 England
Resonance (17),Arnish Moor,wind,4,2006 Scotland
"",Betty Hill,wind,6,2013 Scotland
"",Dewley Cheese,wind,2,2010 North West
"",Solutia,wind,5,2009 Wales
"",Strath of Brydock,wind,7,2009 Scotland
"",Workington (Eastman),wind,4,2005 North West
Riverside Resource Recovery Limited,Belvedere,waste,80,2011 South East
RWE Npower Plc,Didcot B,CCGT,1470,1998 South East
"",Great Yarmouth,CCGT,420,2001 East
"",Little Barford,CCGT,720,1995 East
"",Pembroke,CCGT,2180,2012 Wales
"",Staythorpe C,CCGT,1748,2010 East Midlands
"",Aberthaw B,coal,1586,1971 Wales
"",Aberthaw GT,gas oil,51,1971 Wales
"",Cowes,gas oil,140,1982 South East
"",Didcot GT,gas oil,100,1972 South East
"",Fawley GT,gas oil,68,1969 South East
"",Little Barford GT,gas oil,17,2006 East
"",Littlebrook GT,gas oil,105,1982 South East
"",Littlebrook D,oil,1370,1982 South East
"",Tilbury GT,rapeseed oil,68,1968 East
RWE Npower Renewables Ltd,Black Rock,hydro,4,2012 Scotland
"(Part of RWE Npower)",Braevallich,hydro,2,2005 Scotland
"",Carnoch,hydro,1,2009 Scotland
"",Cwm Dyli,hydro,10,2002 (8) Wales
"",Dolgarrog High Head,hydro,17,2002 (8) Wales
"",Dolgarrog Low Head,hydro,15,1926/2002 Wales
"",Douglas Water,hydro,3,2008 Scotland
"",Garrogie,hydro,2,2005 Scotland
"",Inverbain,hydro,1,2006 Scotland
"",Inverlael,hydro,3,2009 Scotland
"",Kielder,hydro,6,2006 (8) North East
"",Maldie,hydro,4,2013 Scotland
"",River E,hydro,3,2008 Scotland
"",An Suidhe,wind,22,2005 Scotland
"",Bilbster,wind,4,2008 Scotland
"",Bradwell,wind,21,2013 North East
"",Burgar Hill,wind,5,2007 Scotland
"",Goole Fields,wind,4,2013 North East
"",Hameldon Hill,wind,6,2007 North West
"",Hameldon Hill ext,wind,6,2014 Nowrth West
Company Name,Station Name,Fuel,Installed,Year of Location
"",,,Capacity,"commission or Scotland, Wales"
"",,,(MW),"year generation Northern Ireland,"
"",,,,began or English region
RWE Npower Renewables Ltd (continued),Hellrigg,wind,9,2012 North West
"",Hollies,wind,3,2008 East
"",Kiln Pit Hill,wind,14,2012 North East
"",Knabs Ridge,wind,16,2008 North East
"",Lindhurst,wind,9,2010 East Midlands
"",Little Cheyne,wind,60,2008 South East
"",Middlemoor,wind,54,2013 North East
"",Novar 2,wind,37,2012 Scotland
"",Rhyl Flats,wind (offshore),90,2009 Wales
Scottish and Southern,,,,
Hydro Schemes:,,,,
Affric/Beauly,Aigas,hydro,20,1962 Scotland
"",Culligran,hydro,17,1962 Scotland
"",Culligran Compensation  Set,hydro,2,1962 Scotland
"",Deanie,hydro,38,1963 Scotland
"",Fasnakyle,hydro,69,1951 Scotland
"",Fasnakyle Compensation Set,hydro,8,2006 Scotland
"",Kilmorack,hydro,20,1962 Scotland
"",Mullardoch Tunnel,hydro,2,1955 Scotland
Breadalbane,Cashlie,hydro,11,1959 Scotland
"",Dalchonzie,hydro,4,1958 Scotland
"",Finlarig,hydro,17,1955 Scotland
"",Lednock,hydro,3,1961 Scotland
"",Lochay,hydro,46,1958 Scotland
"",Lochay Compensation Set,hydro,2,1959 Scotland
"",Lubreoch,hydro,4,1958 Scotland
"",St. Fillans,hydro,17,1957 Scotland
Conon,Achanalt,hydro,3,1956 Scotland
"",Cuileg,hydro,3,2002 Scotland
"",Grudie Bridge,hydro,19,1950 Scotland
"",Luichart,hydro,34,1954 Scotland
"",Mossford,hydro,19,1957 Scotland
"",Orrin,hydro,18,1959 Scotland
"",Torr Achilty,hydro,15,1954 Scotland
Foyers,Foyers,hydro/,300,1974 Scotland
"",,pumped storage,,
Great Glen,Ceannacroc,hydro,20,1956 Scotland
"",Foyers Falls,hydro,5,1968 Scotland
"",Glendoe,hydro,100,2008 Scotland
"",Glenmoriston,hydro,37,1957 Scotland
"",Invergarry,hydro,20,1956 Scotland
"",Kingairloch,hydro,4,2005 Scotland
"",Livishie,hydro,17,1962 Scotland
"",Mucomir,hydro,2,1962 Scotland
"",Quoich,hydro,18,1955 Scotland
Shin,Cassley,hydro,10,1959 Scotland
"",Lairg,hydro,4,1959 Scotland
"",Shin,hydro,18,1958 Scotland
Sloy/Awe,Allt-na-Lairige,hydro,7,1956 Scotland
"",Clachan,hydro,40,1955 Scotland
"",Inverawe,hydro,25,1963 Scotland
"",Kilmelfort,hydro,2,1956 Scotland
"",Loch Gair,hydro,6,1961 Scotland
"",Lussa,hydro,2,1952 Scotland
"",Nant,hydro,15,1963 Scotland
"",Sloy,hydro,153,1950 Scotland
"",Sron Mor,hydro,4,1957 Scotland
"",Striven,hydro,8,1951 Scotland
Tummel,Clunie,hydro,61,1950 Scotland
"",Cuaich,hydro,3,1959 Scotland
"",Errochty,hydro,75,1955 Scotland
"",Gaur,hydro,8,1953 Scotland
"",Loch Ericht,hydro,2,1962 Scotland
Company Name,Station Name,Fuel,Installed,Year of Location
"",,,Capacity,"commission or Scotland, Wales"
"",,,(MW),"year generation Northern Ireland,"
"",,,,began or English region
Tummel (continued),Pitlochry,hydro,15,1950 Scotland
"",Rannoch,hydro,45,1930 Scotland
"",Tummel,hydro,34,1933 Scotland
Wind,Achany,wind,38,2010 Scotland
"",Artfield Fell,wind,20,2005 Scotland
"",Balmurrie Fell,wind,9,2012 Scotland
"",Bessy Bell 1,wind,5,1995 Northern Ireland
"",Bessy Bell 2,wind,9,2008 Northern Ireland
"",Bin Mountain (19),wind,9,2007 Northern Ireland
"",Bu,wind,3,2002 Scotland
"",Carcant (19),wind,7,2010 Scotland
"",Cathkin Braes,wind,3,2013 Scotland
"",Clyde Central,wind,113,2011 Scotland
"",Clyde North,wind,108,2012 Scotland
"",Clyde South,wind,129,2011 Scotland
"",Drumderg,wind,37,2008 Scotland
"",Fairburn,wind,40,2009 Scotland
"",Gordonbush,wind,70,2011 Scotland
"",Griffin,wind,189,2011 Scotland
"",Hadyard Hill,wind,120,2005 Scotland
"",Keadby,wind,68,2013 England
"",National Offshore Wind Turbine Test,wind,13,2014 Scotland
"",Port of Tilbury,wind,9,2013 England
"",Slieve Kirk,wind,74,2011 Northern Ireland
"",Spurness Extension (20),wind,10,2012 Scotland
"",Tangy,wind,19,2002 Scotland
"",Tappaghan (19),wind,29,2005 Northern Ireland
"",Toddleburn,wind,28,2010 Scotland
"",Greater Gabbard (21),wind (offshore),504,2011 East
Small Hydros:,Chliostair,hydro,1,1960 Scotland
"",Cuileig,hydro,3,2002 Scotland
"",Kerry Falls,hydro,1,1951 Scotland
"",Nostie Bridge,hydro,1,1950 Scotland
"",Storr Lochs,hydro,2,1952 Scotland
Thermal:,Peterhead (22),CCGT,1180,1980 Scotland
"",Ferrybridge C,coal/biomass,980,1966 Yorkshire and the Humber
"",Fiddler’s Ferry,coal/biomass,1961,1971 North West
"",Slough *,coal/biomass/,61,1918 South East
"",,gas/waste derived fuel,,
"",Chippenham,gas,10,2002 South West
"",Ferrybridge GT,gas oil,34,1966 Yorkshire and the Humber
"",Fiddler’s Ferry GT,gas oil,34,1969 North West
"",Keadby GT,gas oil,25,1994 Yorkshire and the Humber
"",Burghfield,gas/oil,45,1998 South East
"",Chickerell,gas/oil,45,1998 South West
"",Five Oaks,light oil,9,1995 South East
"",Thatcham,light oil,9,1994 South East
"",Wheldale,mines gas,8,2002 Yorkshire and the Humber
Island Generation,Arnish,diesel,10,2001 Scotland
"",Barra,diesel,3,1990 Scotland
"",Bowmore,diesel,6,1946 Scotland
"",Kirkwall,diesel,16,1953 Scotland
"",Lerwick,diesel,67,1953 Scotland
"","Loch Carnan, South Uist",diesel,10,1971 Scotland
"",Stornoway,diesel,19,1950 Scotland
"",Tiree,diesel,3,1945 Scotland
Scottish Power,,,,
Hydro schemes:,,,,
Galloway,Carsfad,hydro,12,1936 Scotland
"",Drumjohn,hydro,2,1985 Scotland
"",Earlstoun,hydro,14,1936 Scotland
"",Glenlee,hydro,24,1935 Scotland
Company Name,Station Name,Fuel,Installed,Year of Location
"",,,Capacity,"commission or Scotland, Wales"
"",,,(MW),"year generation Northern Ireland,"
"",,,,began or English region
Galloway (continued),Kendoon,hydro,24,1936 Scotland
"",Tongland,hydro,33,1935 Scotland
Lanark,Bonnington,hydro,11,1927 Scotland
"",Stonebyres,hydro,6,1927 Scotland
Cruachan,Cruachan,pumped storage,440,1966 Scotland
Thermal:,Damhead Creek,CCGT,805,2000 South East
"",Rye House,CCGT,715,1993 East
"",Shoreham,CCGT,420,2000 South East
"",Longannet,coal,2260,1970 Scotland
"",Pilkington - Greengate *,gas,10,1998 North West
Wind:,Arecleoch,wind,120,2010 Scotland
"",Beinn an Tuirc I,wind,30,2001 Scotland
"",Beinn an Tuirc II,wind,30,2012 Scotland
"",Beinn Tharsuinn,wind,30,2007 Scotland
"",Black Law,wind,124,2005 Scotland
"",Callagheen,wind,17,2006 Northern Ireland
"",Carland Cross RP,wind,20,2013 (23) South West
"",Clachan Flats,wind,15,2009 Scotland
"",Coldham,wind,16,2006 East
"",Corkey,wind,5,1994 Northern Ireland
"",Cruach Mhor,wind,30,2004 Scotland
"",Dun Law I,wind,17,2000 Scotland
"",Dun Law II,wind,30,2009 Scotland
"",Elliots Hill,wind,5,1995 Northern Ireland
"",Green Knowes,wind,27,2008 Scotland
"",Hagshaw Hill I,wind,16,1995 Scotland
"",Hagshaw Hill II,wind,26,2009 Scotland
"",Hare Hill,wind,13,2000 Scotland
"",Harestanes,wind,130,2013 Scotland
"",Lynemouth,wind,26,2012 Scotland
"",Mark Hill,wind,56,2011 Scotland
"",Middleton,wind,12,2013 Scotland
"",Penryddian & Llidiartywaun,wind,31,1992 Wales
"",Rigged Hill,wind,5,1994 Northern Ireland
"",Wether Hill,wind,18,2007 Scotland
"",Whitelee,wind,322,2007 Scotland
"",Whitelee II,wind,217,2012 Scotland
"",Wolf Bog,wind,10,2008 Northern Ireland
Seabank Power Limited (24),Seabank 1,CCGT,812,1998 South West
"",Seabank 2,CCGT,410,2000 South West
Sembcorp Utilities (UK) Ltd,Wilton 10 *,biomass,38,2007 North East
"",Wilton GT2 *,gas,42,2005 North East
"",Wilton Power Station,gas/coal/oil,238,1952 North East
South East London,South East London,,,
Combined Heat & Power Ltd,SELCHP ERF,waste,32,1994 London
Statkraft Energy Ltd,Rheidol,hydro,49,1961 Wales
Statkraft Wind UK Ltd,Alltwalis,wind,23,2009 Wales
"",Baillie,wind,53,2013 Scotland
"",Berry Burn,wind,67,2013 Scotland
"",Scira (Sheringham Shoal),wind (offshore),316,2012 East
Sutton Bridge Power Generation,Sutton Bridge,CCGT,819,1999 East
Talisman Energy,Beatrice (3),wind (offshore),10,2007 Scotland
The Renewables Infrastructure Group (UK) Ltd,Altahullion,wind,26,2003 Northern Ireland
"",Altahullion2,wind,12,2007 Northern Ireland
"",Forss,wind,2,2003 Scotland
"",Forss2,wind,5,2007 Scotland
"",Grange,wind,14,2013 England
"",Hill of Towie,wind,48,2012 Scotland
"",Kelburn,wind,28,2011 Scotland
"",Lendrum's Bridge,wind,13,2000 Northern Ireland
"",Lough Hill,wind,8,2007 Northern Ireland
Company Name Station Name,,Fuel,Installed,Year of Location
"",,,Capacity,"commission or Scotland, Wales"
"",,,(MW),"year generation Northern Ireland,"
"",,,,began or English region
The Renewables Infrastructure Group (UK) Ltd------ Roos,,wind,17,2012 England
"-------------------------------------(continued)",,,,
Third Energy Trading Ltd (Formerly RGS) Knapton,,gas,40,1994 Yorkshire and the Humber
Triodos (17) Dunfermline (FMC),,wind,2,2012 Scotland
Eye Airfield,,wind,5,2013 England
Vattenfall Wind Power Edinbane,,wind,41,2010 Scotland
Swinford,,wind,22,2012 Midlands
Kentish Flats,,wind (offshore),90,2005 South East
Ormonde,,wind (offshore),150,2011 North West
Thanet,,wind (offshore),300,2010 South East
Velocita (17) Maerdy,,wind,24,2013 Wales
VPI Immingham LLP VPI Immingham *,,gas,1240,2004 Yorkshire and the Humber
Windcluster Haverigg III (2),,wind,3,2005 North West
Yorkshire Windpower Ltd  (25) Ovenden Moor,,wind,9,1993 Yorkshire and the Humber
Royd Moor,,wind,7,1993 Yorkshire and the Humber
Total,,,"80,225",
