Great Yarmouth,CCGT,420 2001 East,,
Little Barford,CCGT,749 1995 East,,
Pembroke,CCGT,"2,269 2012 Wales",,
Staythorpe C,CCGT,"1,792 2010 East Midlands",,
Aberthaw B,Coal,"1,586 1971 Wales",,
Aberthaw GT,Gas oil,51 1971 Wales,,
Cowes,Gas oil,140 1982 South East,,
Didcot GT,Gas oil,100 1972 South East,,
Little Barford GT,Gas oil,17 2006 East,,
Markinch CHP,Biomass,65 2014 Scotland,,
RWE Innogy UK Ltd (Part of RWE Npower) Causeymire,Wind,48 2004 Scotland,,
Farr,Wind,92 2006 Scotland,,
Ffynnon Oer,Wind,32 2006 Wales,,
Goole Fields,Wind,33 2013 North East,,
Little Cheyne Court,Wind,60 2008 South East,,
Middlemoor,Wind,54 2013 North East,,
Novar 2,Wind,37 2012 Scotland,,
Gwynt y Mor,Wind (offshore),576 2013 Wales,,
North Hoyle,Wind (offshore),60 2003 Wales,,
Rhyl Flats,Wind (offshore),90 2009 Wales,,
Scira Offshore Energy Ltd Scira (Sheringham Shoal BMU 1),Wind (offshore),158 2012 East,,
Scira (Sheringham Shoal BMU 2),Wind (offshore),158 2012 East,,
Scottish and Southern: Greater Gabbard Offshore Greater Gabbard,Wind (offshore),504 2011 East,,(13)
Winds Limited,,,,
Scottish and Southern: Hydro Schemes - Deanie,Hydro,38 1963 Scotland,,
Affric/Beauly Fasnakyle,Hydro,69 1951 Scotland,,
Scottish and Southern: Hydro Schemes - Lochay,Hydro,46 1958 Scotland,,
Breadalbane,,,,
Scottish and Southern: Hydro Schemes - Conon Luichart,Hydro,34 1954 Scotland,,
Scottish and Southern: Hydro Schemes - Foyers Foyers,Hydro / pumped storage,300 1974 Scotland,,
Scottish and Southern: Hydro Schemes - Great Glendoe,Hydro,100 2008 Scotland,,
Glen Glenmoriston,Hydro,37 1957 Scotland,,
Clachan,Hydro,40 1955 Scotland,,
Scottish and Southern: Hydro Schemes - Sloy/Awe Sloy,Hydro,153 1950 Scotland,,
Scottish and Southern: Hydro Schemes - Tummel Clunie,Hydro,61 1950 Scotland,,
Errochty,Hydro,75 1955 Scotland,,
Rannoch,Hydro,45 1930 Scotland,,
Tummel,Hydro,34 1933 Scotland,,
Scottish and Southern: Island Generation Arnish,Diesel,10 2001 Scotland,,
Barra,Diesel,3 1990 Scotland,,
Bowmore,Diesel,6 1946 Scotland,,
Kirkwall,Diesel,16 1953 Scotland,,
Lerwick,Diesel,67 1953 Scotland,,
"Loch Carnan, South Uist",Diesel,9 1971 Scotland,,
Stornoway,Diesel,24 1950 Scotland,,
Tiree,Diesel,3 1945 Scotland,,
Scottish and Southern: Thermal Medway,CCGT,735 1995 South East,,
Peterhead,CCGT,"1,180 1980 Scotland",,(14)
Fiddler’s Ferry,Coal,"1,961 1971 North West",,
Slough *,Biomass / gas / waste derived fuel,35 1918 South East,,
Chippenham,Gas,10 2002 South West,,
Fiddler’s Ferry GT,Gas oil,34 1969 North West,,
Keadby,CCGT,755 1994 Yorkshire and the Humber,,
Keadby GT,Gas oil,25 1994 Yorkshire and the Humber,,
Burghfield,Gas / oil,45 1998 South East,,
Chickerell,Gas / oil,45 1998 South West,,
Five Oaks,Light oil,9 1995 South East,,
Thatcham,Light oil,9 1994 South East,,
"",,Installed Year of commission Location,,
"Scotland, Wales, Company Name Station Name",Fuel,Capacity or year generation Northern Ireland or (MW) began English region,,
Scottish and Southern: Wind Achany,Wind,38 2010 Scotland,,
Drumderg,Wind,37 2008 Scotland,,
Fairburn,Wind,40 2009 Scotland,,
Gordonbush,Wind,70 2011 Scotland,,
Hadyard Hill,Wind,120 2005 Scotland,,
Slieve Kirk,Wind,74 2011 Northern Ireland,,
Strathy North,Wind,68 2015 Scotland,,
Scottish and Southern: Wind - Clyde Windfarm Clyde Central,Wind,113 2011 Scotland,,
"(Scotland) Limited Clyde North",Wind,108 2012 Scotland,,
Clyde South,Wind,129 2011 Scotland,,
Scottish and Southern: Wind - Griffin Windfarm Griffin,Wind,189 2011 Scotland,,
Limited,,,,
Scottish and Southern: Wind - Keadby Wind Farm Keadby,Wind,68 2013 Yorkshire and the Humber,,
Limited,,,,
Scottish Power: Hydro schemes - Cruachan Cruachan,Pumped storage,440 1966 Scotland,,
Scottish Power: Hydro schemes - Galloway Tongland,Hydro,33 1935 Scotland,,
Scottish Power: Thermal Damhead Creek,CCGT,805 2000 South East,,
Rye House,CCGT,715 1993 East,,
Shoreham,CCGT,420 2000 South East,,
Blackburn,CCGT,59 2011 North West,,
Pilkington - Greengate *,Gas,10 1998 North West,,
Scottish Power: Wind Arecleoch,Wind,120 2010 Scotland,,
Beinn an Tuirc 2,Wind,44 2012 Scotland,,
Black Law,Wind,124 2005 Scotland,,
Harestanes,Wind,136 2013 Scotland,,
Mark Hill,Wind,56 2011 Scotland,,
Penryddian & Llidiartywaun,Wind,31 1992 Wales,,
Whitelee,Wind,322 2007 Scotland,,
Whitelee 2,Wind,217 2012 Scotland,,
Seabank Power Limited Seabank 1,CCGT,812 1998 South West,,(15)
Seabank 2,CCGT,410 2000 South West,,
Sembcorp Utilities (UK) Ltd Wilton 10,Biomass,38 2007 North East,,
Wilton GT2,Gas,42 2005 North East,,
Wilton GT1 *,Gas,42 1952 North East,,
South East London Combined Heat & Power Ltd SELCHP ERF,Waste,32 1994 London,,
Statkraft Energy Ltd Rheidol,Hydro,56 1961 Wales,,
Statkraft Wind UK Ltd Baillie,Wind,53 2013 Scotland,,
Berry Burn,Wind,67 2013 Scotland,,
The Renewables Infrastructure Group (UK) Ltd Hill of Towie,Wind,48 2012 Scotland,,
Third Energy Trading Ltd (Formerly RGS) Knapton,Gas,40 1994 Yorkshire and the Humber,,
Vattenfall Wind Power Clashindarroch,Wind,37 2015 Scotland,,
Edinbane,Wind,41 2010 Scotland,,
Kentish Flats,Wind (offshore),90 2005 South East,,
Kentish Flats Extension,Wind (offshore),50 2015 South East,,
Ormonde,Wind (offshore),150 2011 North West,,
Thanet,Wind (offshore),300 2010 South East,,
VPI Immingham LLP VPI Immingham *,Gas,"1,240 2004 Yorkshire and the Humber",,
Total,,"73,309",,
