EntityId,Chart Label,Technology,Technology Subtype,Year,Official Program Number,Calculated LCOE,,Overnight Capital Cost dollar per kW including Contingency,Contingency Factor,Overnight Capital Cost dollar per kW,"Final Capital Cost, $/kW",Discount Rate,Lifetime Years,Final Lifetime in Years,Capital Recovery Factor,Tax Rate,Present Value of Depreciation,Average Capacity Factor,Max Capacity Factor,Final Capacity Factor,LCOE Capital Cost Term,O M All-Inclusive,Fixed O M dollar per kW,Variable O M dollar per MWh,Calculated OM All Inclusive Cost Term ($/kW),Calculated Fixed OM Term ($/kW),Calculated Variable OM Term ($/kW),LCOE OM Term,Fuel,Fuel Cost,Heat Rate,LCOD Fuel Cost Term,,Reference Name,Publication Year,Report Author(s),Dataset name,Dataset web source
EntityId,TechIndex,Technology,TechnologySubtype,Year,IsOfficial,lcoe,Blank,OnghCptCstDlKwInclCtng,ContingencyFactor,OnghtCptlCostDolPerKw,FinalCptlCostDolPerKw,DiscountRate,LifetimeYears,FinalLifetimeYears,CapitalRecoveryFactor,TaxRate,PvOfDepreciation,AvgCapacityFactor,MaxCapacityFactor,FinalCapacityFactor,TermCapitalCost,OMAllInclusive,FixedOMDolPerKw,VariableOMDolPerMwh,OfficialOMAllInclusive,OfficialFixedOMDolPerKw,OfficialVariableOMDolPerMwh,TermOMCost,Fuel,FuelCost,HeatRate,TermFuelCost,Blank,ShortName,PublicationYear,Author,Title,PublicationUrl
Unique identifier for this data record.,Displayed label for the technology and sub-technology.,General type of technology used to generate electricity.,Technology Subtype.,Year.,Official Program Number.,"Levelized cost of energy, an estimate of total electricity cost including payback of initial investment and operating costs. Also the price a plant must sell electricity at in order to break even.",,Overnight Capital Cost dollar per kW including Contingency.,Contingency Factor.,"Initial cost of a generation technology per kilowatt of capacity, if it could be conducted overnight.","Final Capital Cost, $/kW.","Discount Rate is the assumed effective rate at which future income streams are discounted. Used to compute the capital recovery factor. In Normalized mode, a single discount rate is used. In Market and User modes, the discount rate can be different for each technology.",Lifetime Years.,Lifetime of the Investment. It is the assumed lifetime of a new plant/vehicle and the period over which the investment is computed (unless specified otherwise).,(CRF) A common element in the levelized cost calculations is capital expenditures. The capital expenditure is turned into annual payments with a Capital Recovery Factor (CRF) that is defined using a common calculation.,Tax rate paid (applied after depreciation credits).,"The present value of depreciation, depending on the MACRS schedule (Modified Accelerated Cost Recovery System).",The ratio between average power and peak capacity. A plant running at full capacity for exactly half the year would have a 0.5 capacity factor.,Max Capacity Factor.,Final Capacity Factor.,Capital Cost term calculated in the LCOE equation,O M All-Inclusive.,Maintenance costs for generation paid regardless of the total amount generated.,Maintenance costs for generation paid per unit of energy produced.,"Term calculated using the OM All Inclusive Cost - when used, this replaces the fixed and variable O&M costs ($/kW).",Term calculated using the Fixed OM ($/kW).,Term calculated using the Variable OM ($/kW).,Calculated term for all costs associated with OM (Operations and Maintenance).,Fuel.,Fuel Cost.,Heat Rate.,,,Reference Name.,Publication Year.,Report Author.,Dataset name.,Dataset web source.
g30150,Offshore,Wind-Offshore,,2004,,0.093,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.34,,0.34,0.068520195,,14.28,19.99,,,,0.024784521,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30151,Offshore,Wind-Offshore,,2005,,0.093,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.34,,0.34,0.068520195,,14.28,19.99,,,,0.024784521,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30197,Offshore,Wind-Offshore,,2000,,0.086,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.061307543,,14.28,19.99,,,,0.024279834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30198,Offshore,Wind-Offshore,,2001,,0.086,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.061307543,,14.28,19.99,,,,0.024279834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30199,Offshore,Wind-Offshore,,2002,,0.086,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.061307543,,14.28,19.99,,,,0.024279834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30200,Offshore,Wind-Offshore,,2003,,0.086,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.061307543,,14.28,19.99,,,,0.024279834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30201,Offshore,Wind-Offshore,,2004,,0.086,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.061307543,,14.28,19.99,,,,0.024279834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30202,Offshore,Wind-Offshore,,2005,,0.086,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.061307543,,14.28,19.99,,,,0.024279834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30248,Offshore,Wind-Offshore,,2000,,0.079,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.42,,0.42,0.055468729,,14.28,19.99,,,,0.023871279,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30249,Offshore,Wind-Offshore,,2001,,0.079,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.42,,0.42,0.055468729,,14.28,19.99,,,,0.023871279,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30250,Offshore,Wind-Offshore,,2002,,0.079,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.42,,0.42,0.055468729,,14.28,19.99,,,,0.023871279,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30251,Offshore,Wind-Offshore,,2003,,0.079,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.42,,0.42,0.055468729,,14.28,19.99,,,,0.023871279,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30252,Offshore,Wind-Offshore,,2004,,0.079,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.42,,0.42,0.055468729,,14.28,19.99,,,,0.023871279,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30253,Offshore,Wind-Offshore,,2005,,0.079,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.42,,0.42,0.055468729,,14.28,19.99,,,,0.023871279,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30304,Offshore,Wind-Offshore,,2005,,0.074,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.050645362,,14.28,19.99,,,,0.023533776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30299,Offshore,Wind-Offshore,,2000,,0.074,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.050645362,,14.28,19.99,,,,0.023533776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30300,Offshore,Wind-Offshore,,2001,,0.074,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.050645362,,14.28,19.99,,,,0.023533776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30301,Offshore,Wind-Offshore,,2002,,0.074,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.050645362,,14.28,19.99,,,,0.023533776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30302,Offshore,Wind-Offshore,,2003,,0.074,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.050645362,,14.28,19.99,,,,0.023533776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30303,Offshore,Wind-Offshore,,2004,,0.074,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.050645362,,14.28,19.99,,,,0.023533776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30354,Offshore,Wind-Offshore,,2004,,0.07,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.5,,0.5,0.046593733,,14.28,19.99,,,,0.023250274,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30355,Offshore,Wind-Offshore,,2005,,0.07,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.5,,0.5,0.046593733,,14.28,19.99,,,,0.023250274,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30350,Offshore,Wind-Offshore,,2000,,0.07,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.5,,0.5,0.046593733,,14.28,19.99,,,,0.023250274,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30351,Offshore,Wind-Offshore,,2001,,0.07,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.5,,0.5,0.046593733,,14.28,19.99,,,,0.023250274,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30352,Offshore,Wind-Offshore,,2002,,0.07,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.5,,0.5,0.046593733,,14.28,19.99,,,,0.023250274,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30353,Offshore,Wind-Offshore,,2003,,0.07,,,1,2284.35,2284.35,0.07,20,30,0.080586404,0.392,0.83155,0.5,,0.5,0.046593733,,14.28,19.99,,,,0.023250274,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30404,Offshore,Wind-Offshore,,2003,,0.109,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.081743659,,14.28,22.84,,,,0.027129834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30405,Offshore,Wind-Offshore,,2004,,0.109,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.081743659,,14.28,22.84,,,,0.027129834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30406,Offshore,Wind-Offshore,,2005,,0.109,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.081743659,,14.28,22.84,,,,0.027129834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30407,Offshore,Wind-Offshore,,2006,,0.109,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.081743659,,14.28,22.84,,,,0.027129834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30408,Offshore,Wind-Offshore,,2007,,0.109,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.081743659,,14.28,22.84,,,,0.027129834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30401,Offshore,Wind-Offshore,,2000,,0.109,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.081743659,,14.28,22.84,,,,0.027129834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30409,Offshore,Wind-Offshore,,2008,,0.109,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.081743659,,14.28,22.84,,,,0.027129834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30402,Offshore,Wind-Offshore,,2001,,0.109,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.081743659,,14.28,22.84,,,,0.027129834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30403,Offshore,Wind-Offshore,,2002,,0.109,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.38,,0.38,0.081743659,,14.28,22.84,,,,0.027129834,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30454,Offshore,Wind-Offshore,,2002,,0.099,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.43,,0.43,0.072238582,,14.28,22.84,,,,0.026631016,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30455,Offshore,Wind-Offshore,,2003,,0.099,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.43,,0.43,0.072238582,,14.28,22.84,,,,0.026631016,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30456,Offshore,Wind-Offshore,,2004,,0.099,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.43,,0.43,0.072238582,,14.28,22.84,,,,0.026631016,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30457,Offshore,Wind-Offshore,,2005,,0.099,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.43,,0.43,0.072238582,,14.28,22.84,,,,0.026631016,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30458,Offshore,Wind-Offshore,,2006,,0.099,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.43,,0.43,0.072238582,,14.28,22.84,,,,0.026631016,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30459,Offshore,Wind-Offshore,,2007,,0.099,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.43,,0.43,0.072238582,,14.28,22.84,,,,0.026631016,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30452,Offshore,Wind-Offshore,,2000,,0.099,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.43,,0.43,0.072238582,,14.28,22.84,,,,0.026631016,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30460,Offshore,Wind-Offshore,,2008,,0.099,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.43,,0.43,0.072238582,,14.28,22.84,,,,0.026631016,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30453,Offshore,Wind-Offshore,,2001,,0.099,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.43,,0.43,0.072238582,,14.28,22.84,,,,0.026631016,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30504,Offshore,Wind-Offshore,,2001,,0.094,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.06752737,,14.28,22.84,,,,0.026383776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30505,Offshore,Wind-Offshore,,2002,,0.094,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.06752737,,14.28,22.84,,,,0.026383776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30506,Offshore,Wind-Offshore,,2003,,0.094,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.06752737,,14.28,22.84,,,,0.026383776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30507,Offshore,Wind-Offshore,,2004,,0.094,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.06752737,,14.28,22.84,,,,0.026383776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30508,Offshore,Wind-Offshore,,2005,,0.094,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.06752737,,14.28,22.84,,,,0.026383776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30509,Offshore,Wind-Offshore,,2006,,0.094,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.06752737,,14.28,22.84,,,,0.026383776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30510,Offshore,Wind-Offshore,,2007,,0.094,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.06752737,,14.28,22.84,,,,0.026383776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30503,Offshore,Wind-Offshore,,2000,,0.094,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.06752737,,14.28,22.84,,,,0.026383776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30511,Offshore,Wind-Offshore,,2008,,0.094,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.46,,0.46,0.06752737,,14.28,22.84,,,,0.026383776,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30554,Offshore,Wind-Offshore,,2000,,0.088,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.5,,0.5,0.062125181,,14.28,22.84,,,,0.026100274,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g30562,Offshore,Wind-Offshore,,2008,,0.088,,,1,3045.81,3045.81,0.07,20,30,0.080586404,0.392,0.83155,0.5,,0.5,0.062125181,,14.28,22.84,,,,0.026100274,Wind,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
