,Plant_Type,Connect_system_cost-Medium _2016,Connect_system_cost-Medium _2017,Connect_system_cost-Medium _2020,Constr_cost-High _2016,Constr_cost-High _2017,Constr_cost-High _2020,Constr_cost-Low _2016,Constr_cost-Low _2017,Constr_cost-Low _2020,Constr_cost-Medium _2016,Constr_cost-Medium _2017,Constr_cost-Medium _2020,Fixed_cost-Medium _2016,Fixed_cost-Medium _2017,Fixed_cost-Medium _2020,Insurance_cost-Medium _2016,Insurance_cost-Medium _2017,Insurance_cost-Medium _2020,Pre_dev_cost-High _2016,Pre_dev_cost-High _2017,Pre_dev_cost-High _2020,Pre_dev_cost-Low _2016,Pre_dev_cost-Low _2017,Pre_dev_cost-Low _2020,Pre_dev_cost-Medium _2016,Pre_dev_cost-Medium _2017,Pre_dev_cost-Medium _2020,Var_cost-Medium _2016,Var_cost-Medium _2017,Var_cost-Medium _2020
,Dedicated biomass >50MW,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Dedicated biomass 5-50MW,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Onshore >5 MW,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Offshore Round 2,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Offshore Round 3,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Bioliquids,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Bioliquids CHP,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Cofiring Conventional,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Cofiring Enhanced,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Biomass conversion,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Hydropower 5-16MW,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Energy from Waste,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Energy from Waste CHP,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Biomass CHP,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,AD,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,AD CHP,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,ACT CHP,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Large scale solar PV,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Solar <4kW,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Onshore 1MW<5MW,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Onshore <15kW,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,AD < 250kW,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Hydropower 100kW-1000kW,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
,Hydropower <15kW,6840,6840,6840,700,700,700,500,500,500,600,600,600,22000,22000,22000,1990,1990,1990,20,20,20,5,5,5,10,10,10,0.1,0.1,0.1
